customer_id,first_name,last_name,email,region,channel_preference,created_at,is_active
CUST000001,Shannon,Luna,customer1@example.com,Northeast,mobile,2025-08-28 17:25:10,True
CUST000002,Holly,Phillips,customer2@example.com,West,mobile,2025-04-29 06:53:55,True
CUST000003,Adam,Avery,customer3@example.com,Midwest,store,2025-05-10 18:53:03,True
CUST000004,Jennifer,Maldonado,customer4@example.com,Northeast,marketplace,2025-03-06 21:14:53,True
CUST000005,Caitlin,Atkins,customer5@example.com,West,marketplace,2024-11-02 10:37:04,False
CUST000006,Barbara,Martinez,customer6@example.com,Midwest,store,2024-07-20 01:08:04,True
CUST000007,Philip,Ware,customer7@example.com,Midwest,marketplace,2026-02-16 11:36:36,True
CUST000008,Kristen,Reid,customer8@example.com,Midwest,marketplace,2024-11-05 05:39:05,False
CUST000009,Cameron,Vazquez,customer9@example.com,Southeast,store,2024-09-16 20:12:31,True
CUST000010,Paul,Johnson,customer10@example.com,Southeast,mobile,2025-11-24 18:25:13,False
CUST000011,Laura,Thomas,customer11@example.com,Midwest,web,2024-06-15 20:30:18,True
CUST000012,Laurie,Rodriguez,customer12@example.com,Midwest,web,2025-12-24 17:43:37,True
CUST000013,Jeremy,Young,customer13@example.com,West,mobile,2025-02-01 06:30:03,True
CUST000014,Robert,Johnson,customer14@example.com,Midwest,marketplace,2024-05-29 15:49:49,True
CUST000015,Krista,Proctor,customer15@example.com,Midwest,web,2025-10-03 23:59:33,False
CUST000016,Donna,Mcgee,customer16@example.com,Midwest,web,2024-12-21 07:32:53,True
CUST000017,Patty,Townsend,customer17@example.com,Northeast,web,2026-04-11 11:40:48,True
CUST000018,Karen,Gomez,customer18@example.com,Southeast,mobile,2025-12-17 02:36:23,True
CUST000019,Eric,Miller,customer19@example.com,Midwest,marketplace,2026-01-23 18:55:43,True
CUST000020,George,Stevenson,customer20@example.com,West,mobile,2026-01-29 23:43:36,True
CUST000021,Eric,Mckay,customer21@example.com,West,mobile,2024-09-18 19:45:12,True
CUST000022,Timothy,Murray,customer22@example.com,Northeast,store,2025-12-27 10:59:50,True
CUST000023,Joe,Alexander,customer23@example.com,Midwest,marketplace,2025-05-29 17:55:34,True
CUST000024,Margaret,Rowland,customer24@example.com,Northeast,mobile,2024-09-09 22:14:55,False
CUST000025,Joshua,Castro,customer25@example.com,Midwest,marketplace,2025-04-24 05:52:29,False
CUST000026,Dawn,Cisneros,customer26@example.com,West,store,2025-05-11 23:34:20,True
CUST000027,Monica,Stafford,customer27@example.com,Southeast,store,2024-10-23 03:45:14,True
CUST000028,Nicholas,Sanchez,customer28@example.com,Northeast,marketplace,2025-10-14 02:21:57,True
CUST000029,Xavier,Owens,customer29@example.com,West,web,2025-05-03 13:02:49,True
CUST000030,Alice,Miller,customer30@example.com,Southeast,web,2025-10-29 08:03:00,False
CUST000031,Mercedes,Craig,customer31@example.com,Midwest,store,2025-09-15 04:55:43,True
CUST000032,Rebecca,Lawson,customer32@example.com,Northeast,marketplace,2026-02-25 09:53:30,False
CUST000033,Jeffrey,Ross,customer33@example.com,Midwest,web,2024-06-10 18:26:33,True
CUST000034,Megan,French,customer34@example.com,Southeast,mobile,2025-05-23 02:24:22,True
CUST000035,Nicole,Campbell,customer35@example.com,Northeast,mobile,2025-06-12 23:46:56,False
CUST000036,James,Douglas,customer36@example.com,Midwest,marketplace,2025-11-16 10:09:03,True
CUST000037,Juan,Meyers,customer37@example.com,Southeast,marketplace,2025-03-30 19:44:27,True
CUST000038,Wendy,Young,customer38@example.com,Northeast,store,2025-12-03 02:50:50,False
CUST000039,Bonnie,Cabrera,customer39@example.com,Midwest,mobile,2024-07-24 21:22:40,True
CUST000040,Karen,Atkinson,customer40@example.com,Northeast,marketplace,2026-04-10 23:47:59,False
CUST000041,Jesus,Gilmore,customer41@example.com,Midwest,web,2024-05-05 01:08:35,True
CUST000042,Andrew,Singh,customer42@example.com,West,web,2024-07-27 16:41:40,True
CUST000043,Cynthia,Dalton,customer43@example.com,Northeast,mobile,2025-02-16 16:00:43,False
CUST000044,Denise,Ayers,customer44@example.com,Northeast,web,2025-07-15 11:57:55,True
CUST000045,Dawn,Garcia,customer45@example.com,Northeast,store,2024-05-08 16:37:25,True
CUST000046,Nina,Bennett,customer46@example.com,West,marketplace,2025-10-21 01:41:23,True
CUST000047,Louis,Turner,customer47@example.com,West,web,2025-11-01 02:30:11,False
CUST000048,Brittany,Tapia,customer48@example.com,Northeast,mobile,2026-03-14 13:40:55,True
CUST000049,Jeff,Salazar,customer49@example.com,Southeast,web,2026-01-19 06:50:33,True
CUST000050,Michael,Bell,customer50@example.com,Northeast,store,2024-07-12 04:54:10,True
CUST000051,Andrew,Price,customer51@example.com,Southeast,marketplace,2025-03-26 08:53:53,True
CUST000052,Alexander,Jackson,customer52@example.com,Midwest,mobile,2024-07-17 07:31:46,True
CUST000053,Tanya,Boyd,customer53@example.com,Southeast,mobile,2025-03-18 04:00:46,True
CUST000054,James,Marsh,customer54@example.com,West,mobile,2025-01-01 02:00:44,True
CUST000055,Martha,Green,customer55@example.com,Southeast,web,2024-08-16 11:16:45,True
CUST000056,Alexandra,Mullins,customer56@example.com,Southeast,web,2025-12-08 04:34:41,True
CUST000057,Juan,Johnson,customer57@example.com,Midwest,marketplace,2024-11-15 01:49:58,True
CUST000058,Kenneth,Reyes,customer58@example.com,West,store,2025-06-25 21:19:24,True
CUST000059,Maria,Maldonado,customer59@example.com,West,web,2026-01-07 02:59:35,True
CUST000060,Matthew,Silva,customer60@example.com,Southeast,marketplace,2025-09-05 05:40:47,True
CUST000061,Joseph,Hall,customer61@example.com,Northeast,mobile,2025-05-22 16:50:17,True
CUST000062,James,Hunt,customer62@example.com,West,store,2025-04-29 20:49:58,False
CUST000063,Dana,Smith,customer63@example.com,Southeast,web,2024-11-22 05:06:10,False
CUST000064,Sandra,Hamilton,customer64@example.com,Southeast,web,2025-11-02 05:05:18,True
CUST000065,James,Long,customer65@example.com,Southeast,web,2025-03-28 04:36:48,True
CUST000066,Brandi,Jackson,customer66@example.com,Northeast,store,2024-08-04 22:12:19,True
CUST000067,Kyle,Coleman,customer67@example.com,West,web,2026-04-08 18:05:21,True
CUST000068,Julian,Cruz,customer68@example.com,West,marketplace,2025-11-05 21:51:57,False
CUST000069,Tina,Buchanan,customer69@example.com,West,store,2024-07-02 06:10:10,True
CUST000070,Jillian,Martin,customer70@example.com,Southeast,mobile,2025-10-25 15:05:22,True
CUST000071,Jesse,Morrison,customer71@example.com,Southeast,store,2025-10-21 16:11:17,False
CUST000072,Michael,Foley,customer72@example.com,Midwest,mobile,2025-12-04 03:02:03,False
CUST000073,Desiree,Flores,customer73@example.com,West,marketplace,2024-07-01 17:37:32,True
CUST000074,Jeffrey,Johnson,customer74@example.com,West,web,2025-01-24 06:31:40,True
CUST000075,Dalton,Roth,customer75@example.com,Northeast,web,2025-01-30 11:43:51,True
CUST000076,Angelica,Palmer,customer76@example.com,Northeast,store,2025-10-02 13:18:31,True
CUST000077,Leslie,Robinson,customer77@example.com,Southeast,web,2025-03-17 17:39:54,True
CUST000078,Kevin,Alvarado,customer78@example.com,West,store,2024-09-18 01:25:59,True
CUST000079,Hunter,Vasquez,customer79@example.com,Midwest,marketplace,2024-07-17 10:08:10,True
CUST000080,Alexander,Patton,customer80@example.com,West,store,2025-04-13 00:10:06,False
CUST000081,Martha,Wilson,customer81@example.com,Southeast,web,2026-02-08 16:57:55,False
CUST000082,Amy,Dominguez,customer82@example.com,Midwest,marketplace,2026-03-25 16:14:43,True
CUST000083,Michael,Martinez,customer83@example.com,Southeast,marketplace,2024-04-26 04:40:32,False
CUST000084,Ashley,Garza,customer84@example.com,Midwest,web,2026-02-06 23:22:45,False
CUST000085,Andrew,Wright,customer85@example.com,West,web,2024-06-14 17:05:57,True
CUST000086,Lisa,Harris,customer86@example.com,West,mobile,2025-01-11 20:22:17,True
CUST000087,Amber,Morales,customer87@example.com,West,web,2024-06-27 12:48:00,True
CUST000088,Elizabeth,Berry,customer88@example.com,West,web,2024-09-30 05:44:27,True
CUST000089,Theodore,Thompson,customer89@example.com,Northeast,mobile,2024-09-01 04:02:54,True
CUST000090,Brian,Campbell,customer90@example.com,Southeast,store,2025-09-18 23:39:15,True
CUST000091,Laura,Gonzales,customer91@example.com,Southeast,mobile,2025-02-21 18:14:32,True
CUST000092,Charles,Salinas,customer92@example.com,West,mobile,2024-06-07 02:33:58,True
CUST000093,Justin,Baker,customer93@example.com,Midwest,store,2024-08-27 22:19:04,True
CUST000094,Jose,Walters,customer94@example.com,West,web,2024-07-26 20:29:46,False
CUST000095,Jose,Jones,customer95@example.com,West,store,2024-06-19 14:34:13,True
CUST000096,Jeremy,Richard,customer96@example.com,West,mobile,2025-10-31 10:01:56,True
CUST000097,Jennifer,Myers,customer97@example.com,Northeast,marketplace,2025-08-08 14:11:44,False
CUST000098,Nathan,Gonzalez,customer98@example.com,West,mobile,2025-11-19 13:54:25,True
CUST000099,Brian,Sanchez,customer99@example.com,Southeast,store,2026-01-14 10:18:26,True
CUST000100,Daniel,Morgan,customer100@example.com,West,mobile,2025-05-15 09:54:05,True
CUST000101,Leah,Brooks,customer101@example.com,Northeast,marketplace,2025-07-29 07:53:56,False
CUST000102,Jessica,Rodgers,customer102@example.com,West,mobile,2024-09-09 03:34:53,True
CUST000103,Jennifer,Barry,customer103@example.com,Midwest,store,2024-06-17 04:33:31,True
CUST000104,Ronald,Gibson,customer104@example.com,Northeast,marketplace,2025-04-02 13:27:09,True
CUST000105,Jennifer,Cook,customer105@example.com,Midwest,mobile,2025-10-27 05:42:56,True
CUST000106,Carla,Ford,customer106@example.com,Southeast,store,2024-10-25 03:20:15,True
CUST000107,Heather,Ayers,customer107@example.com,Northeast,web,2025-01-30 06:33:58,True
CUST000108,Dylan,Jackson,customer108@example.com,Northeast,mobile,2024-07-19 20:59:34,True
CUST000109,Scott,Fowler,customer109@example.com,West,marketplace,2025-09-23 21:41:36,False
CUST000110,Megan,Becker,customer110@example.com,West,store,2025-09-08 10:08:37,False
CUST000111,Ronald,Green,customer111@example.com,West,web,2025-03-22 04:13:15,True
CUST000112,Cynthia,Knapp,customer112@example.com,West,web,2025-08-09 04:56:13,True
CUST000113,Rachael,Gamble,customer113@example.com,Midwest,mobile,2025-02-09 07:37:57,True
CUST000114,James,Jenkins,customer114@example.com,Midwest,marketplace,2024-11-16 13:54:11,True
CUST000115,Christina,Young,customer115@example.com,Midwest,mobile,2025-07-05 18:35:12,True
CUST000116,Xavier,Castillo,customer116@example.com,West,mobile,2024-05-08 11:37:01,True
CUST000117,Frederick,Mcdonald,customer117@example.com,West,web,2025-09-08 18:51:34,True
CUST000118,Kathy,Choi,customer118@example.com,Northeast,marketplace,2025-10-12 18:49:15,True
